id,name,slug,code,longcode,gateway,pay_with_bank,active,country,currency,type,is_deleted,createdAt,updatedAt
108,Bowen Microfinance Bank,bowen-microfinance-bank,50931,,,False,True,Nigeria,NGN,nuban,False,2020-02-11T15:38:57.000Z,2020-02-11T15:38:57.000Z
697,Branch International Financial Services Limited,branch,FC40163,,,False,True,Nigeria,NGN,nuban,False,2023-05-04T09:49:07.000Z,2023-05-04T09:49:07.000Z
82,Carbon,carbon,565,,,False,True,Nigeria,NGN,nuban,False,2020-06-16T08:15:31.000Z,2021-08-05T15:25:01.000Z
692,CASHCONNECT MFB,cashconnect-mfb-ng,865,865,,False,True,Nigeria,NGN,nuban,False,2023-04-05T14:29:19.000Z,2023-04-05T14:29:19.000Z
74,CEMCS Microfinance Bank,cemcs-microfinance-bank,50823,,,False,True,Nigeria,NGN,nuban,False,2020-03-23T15:06:13.000Z,2020-03-23T15:06:28.000Z
284,Chanelle Microfinance Bank Limited,chanelle-microfinance-bank-limited-ng,50171,50171,,False,True,Nigeria,NGN,nuban,False,2022-02-10T13:28:38.000Z,2022-02-10T13:28:38.000Z
704,Chikum Microfinance bank,chikum-microfinance-bank-ng,312,null,,False,True,Nigeria,NGN,nuban,False,2023-07-03T11:21:07.000Z,2023-07-03T11:21:07.000Z
2,Citibank Nigeria,citibank-nigeria,023,023150005,,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2020-02-18T20:24:02.000Z
691,Consumer Microfinance Bank,consumer-microfinance-bank-ng,50910,50910,,False,True,Nigeria,NGN,nuban,False,2023-03-28T06:18:02.000Z,2023-03-28T06:18:02.000Z
283,Corestep MFB,corestep-mfb,50204,,,False,True,Nigeria,NGN,nuban,False,2022-02-09T14:33:06.000Z,2022-02-09T14:33:06.000Z
173,Coronation Merchant Bank,coronation-merchant-bank-ng,559,,,False,True,Nigeria,NGN,nuban,False,2020-11-24T10:25:07.000Z,2023-05-04T06:49:08.000Z
694,County Finance Limited,county-finance-limited,FC40128,,,False,True,Nigeria,NGN,nuban,False,2023-04-26T14:24:23.000Z,2023-04-26T14:24:23.000Z
366,Crescent MFB,crescent-mfb,51297,,,False,True,Nigeria,NGN,nuban,False,2022-07-18T12:39:03.000Z,2022-07-18T12:39:03.000Z
738,Davenport MICROFINANCE BANK,davenport-microfinance-bank-ng,51334,51334,,False,True,Nigeria,NGN,nuban,False,2023-11-20T13:30:56.000Z,2023-11-20T13:30:56.000Z
637,Dot Microfinance Bank,dot-microfinance-bank-ng,50162,,,False,True,Nigeria,NGN,nuban,False,2022-11-03T14:39:09.000Z,2022-11-03T14:39:09.000Z
4,Ecobank Nigeria,ecobank-nigeria,050,050150010,,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2020-02-18T20:23:53.000Z
628,Ekimogun MFB,ekimogun-mfb-ng,50263,,,False,True,Nigeria,NGN,nuban,False,2022-08-31T08:26:39.000Z,2022-08-31T08:26:39.000Z
64,Ekondo Microfinance Bank,ekondo-microfinance-bank-ng,098,,,False,True,Nigeria,NGN,nuban,False,2018-09-23T05:55:06.000Z,2022-09-21T15:09:51.000Z
167,Eyowo,eyowo,50126,,,False,True,Nigeria,NGN,nuban,False,2020-09-07T13:52:22.000Z,2020-11-24T10:03:21.000Z
677,Fairmoney Microfinance Bank,fairmoney-microfinance-bank-ng,51318,,,False,True,Nigeria,NGN,nuban,False,2022-11-15T12:33:47.000Z,2022-11-15T12:37:44.000Z
6,Fidelity Bank,fidelity-bank,070,070150003,emandate,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2021-08-27T09:15:29.000Z
177,Firmus MFB,firmus-mfb,51314,,,False,True,Nigeria,NGN,nuban,False,2021-06-01T15:33:26.000Z,2021-06-01T15:33:26.000Z
7,First Bank of Nigeria,first-bank-of-nigeria,011,011151003,ibank,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2021-03-25T14:22:52.000Z
8,First City Monument Bank,first-city-monument-bank,214,214150018,emandate,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2020-02-18T08:06:46.000Z
682,FirstTrust Mortgage Bank Nigeria,firsttrust-mortgage-bank-nigeria-ng,413,,,False,True,Nigeria,NGN,nuban,False,2023-02-17T12:12:37.000Z,2023-06-15T16:21:12.000Z
687,FLOURISH MFB,flourish-mfb-ng,50315,50315,,False,True,Nigeria,NGN,nuban,False,2023-03-09T08:11:06.000Z,2023-03-09T08:11:06.000Z
112,FSDH Merchant Bank Limited,fsdh-merchant-bank-limited,501,,,False,True,Nigeria,NGN,nuban,False,2020-08-20T09:37:04.000Z,2020-11-24T10:03:22.000Z
716,FUTMINNA MICROFINANCE BANK,futminna-microfinance-bank-ng,832,832,,False,True,Nigeria,NGN,nuban,False,2023-10-11T13:24:17.000Z,2023-10-11T13:24:17.000Z
287,Gateway Mortgage Bank LTD,gateway-mortgage-bank,812,,,False,True,Nigeria,NGN,nuban,False,2022-02-24T06:04:39.000Z,2022-02-24T06:04:39.000Z
70,Globus Bank,globus-bank,00103,103015001,,False,True,Nigeria,NGN,nuban,False,2020-02-11T15:38:57.000Z,2020-02-11T15:38:57.000Z
183,GoMoney,gomoney,100022,,,False,True,Nigeria,NGN,nuban,False,2021-08-04T11:49:46.000Z,2021-11-12T13:32:14.000Z
635,Goodnews Microfinance Bank,goodnews-microfinance-bank-ng,50739,,,False,True,Nigeria,NGN,nuban,False,2022-09-29T09:14:18.000Z,2022-10-18T14:59:07.000Z
633,Greenwich Merchant Bank,greenwich-merchant-bank-ng,562,,,False,True,Nigeria,NGN,nuban,False,2022-09-16T15:23:58.000Z,2022-09-16T15:23:58.000Z
9,Guaranty Trust Bank,guaranty-trust-bank,058,058152036,ibank,True,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2023-06-22T08:50:47.000Z
111,Hackman Microfinance Bank,hackman-microfinance-bank,51251,,,False,True,Nigeria,NGN,nuban,False,2020-08-20T09:32:48.000Z,2020-11-24T10:03:24.000Z
81,Hasal Microfinance Bank,hasal-microfinance-bank,50383,,,False,True,Nigeria,NGN,nuban,False,2020-02-11T15:38:57.000Z,2020-02-11T15:38:57.000Z
10,Heritage Bank,heritage-bank,030,030159992,,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2020-02-18T20:24:23.000Z
301,HopePSB,hopepsb-ng,120002,120002,,False,True,Nigeria,NGN,nuban,False,2022-05-30T14:03:18.000Z,2022-05-30T14:03:18.000Z
168,Ibile Microfinance Bank,ibile-mfb,51244,,,False,True,Nigeria,NGN,nuban,False,2020-10-21T10:54:20.000Z,2020-10-21T10:54:33.000Z
615,Ikoyi Osun MFB,ikoyi-osun-mfb,50439,,,False,True,Nigeria,NGN,nuban,False,2022-08-10T09:48:24.000Z,2022-08-10T09:48:24.000Z
636,Ilaro Poly Microfinance Bank,ilaro-poly-microfinance-bank-ng,50442,,,False,True,Nigeria,NGN,nuban,False,2022-10-12T09:15:26.000Z,2022-10-12T09:15:26.000Z
703,Imowo MFB,imowo-mfb-ng,50453,50453,,False,True,Nigeria,NGN,nuban,False,2023-06-26T13:50:15.000Z,2023-06-26T13:50:15.000Z
172,Infinity MFB,infinity-mfb,50457,,,False,True,Nigeria,NGN,nuban,False,2020-11-24T10:23:37.000Z,2020-11-24T10:23:37.000Z
22,Jaiz Bank,jaiz-bank,301,301080020,,False,True,Nigeria,NGN,nuban,False,2016-10-10T17:26:29.000Z,2016-10-10T17:26:29.000Z
187,Kadpoly MFB,kadpoly-mfb,50502,,,False,True,Nigeria,NGN,nuban,False,2021-09-27T11:59:42.000Z,2021-09-27T11:59:42.000Z
11,Keystone Bank,keystone-bank,082,082150017,,False,True,Nigeria,NGN,nuban,False,2016-07-14T10:04:29.000Z,2020-02-18T20:23:45.000Z
184,Kredi Money MFB LTD,kredi-money-mfb,50200,,,False,True,Nigeria,NGN,nuban,False,2021-08-11T09:54:03.000Z,2021-08-11T09:54:03.000Z
67,Kuda Bank,kuda-bank,50211,,digitalbankmandate,True,True,Nigeria,NGN,nuban,False,2019-11-15T17:06:54.000Z,2023-07-19T11:26:13.000Z
109,Lagos Building Investment Company Plc.,lbic-plc,90052,,,False,True,Nigeria,NGN,nuban,False,2020-08-10T15:07:44.000Z,2020-08-10T15:07:44.000Z
180,Links MFB,links-mfb,50549,,,False,True,Nigeria,NGN,nuban,False,2021-07-12T14:41:18.000Z,2021-07-12T14:41:18.000Z
296,Living Trust Mortgage Bank,living-trust-mortgage-bank,031,,,False,True,Nigeria,NGN,nuban,False,2022-05-25T10:46:17.000Z,2022-05-25T10:46:17.000Z
233,Lotus Bank,lotus-bank,303,,,False,True,Nigeria,NGN,nuban,False,2021-12-06T14:39:51.000Z,2021-12-06T14:39:51.000Z
175,Mayfair MFB,mayfair-mfb,50563,,,False,True,Nigeria,NGN,nuban,False,2021-02-02T08:28:38.000Z,2021-02-02T08:28:38.000Z
178,Mint MFB,mint-mfb,50304,,,False,True,Nigeria,NGN,nuban,False,2021-06-01T16:07:29.000Z,2021-06-01T16:07:29.000Z
714,Money Master PSB,money-master-psb-ng,946,,,False,True,Nigeria,NGN,nuban,False,2023-09-08T14:47:32.000Z,2023-09-14T12:56:51.000Z
688,Moniepoint MFB,moniepoint-mfb-ng,50515,null,,False,True,Nigeria,NGN,nuban,False,2023-03-20T12:53:58.000Z,2023-03-20T12:53:58.000Z
303,MTN Momo PSB,mtn-momo-psb-ng,120003,120003,,False,True,Nigeria,NGN,nuban,False,2022-05-31T06:52:07.000Z,2022-06-23T09:33:55.000Z
739,MUTUAL BENEFITS MICROFINANCE BANK,mutual-benefits-microfinance-bank-ng,090190,090190,,False,True,Nigeria,NGN,nuban,False,2023-11-21T07:41:39.000Z,2023-11-21T07:41:39.000Z
715,NPF MICROFINANCE BANK,npf-microfinance-bank-ng,50629,50629,,False,True,Nigeria,NGN,nuban,False,2023-09-12T11:57:02.000Z,2023-09-12T19:24:09.000Z
